pot,treatment,treatment_ID,replicate,pot_ID,spec_comb,tree_ID,species,date_t0,RCD_1_mm,RCD_2_mm,RCD_t0_mm,shoot_t0_cm,notes,date_t1,RCD_1_mm,RCD_2_mm,RCD_t1_mm,shoot_t1_cm,date_t2,RCD_1_mm,RCD_2_mm,RCD_t2_mm,shoot_t2_cm,notes,date_t3,RCD_1_mm,RCD_2_mm,RCD_t3_mm,shoot_t3_cm
23,mix,Mix_AI_EI ,1,Mix_1AI_2EI 1,ACSA-PIST-PIST,3,PIST,2024-07-13,3.07,3.29,3.2,18.0,,2024-07-25,3.54,3.11,3.3,18.5,2024-08-22,3.52,3.84,3.7,17.0,,,,,0.0,
24,mix,AM_AT_AI ,2,AM_1AT_2AI 2,ACSA-ACSA-PRSE,1,PRSE,2024-07-13,2.37,2.48,2.4,25.0,,2024-07-25,2.72,2.63,2.7,27.0,2024-08-22,4.64,4.91,4.8,45.5,,,,,0.0,
24,mix,AM_AT_AI ,2,AM_1AT_2AI 2,ACSA-ACSA-PRSE,2,ACSA,2024-07-13,1.48,1.43,1.5,6.0,,2024-07-25,1.59,1.30,1.4,7.0,2024-08-22,1.36,1.55,1.5,8.0,,,,,0.0,
24,mix,AM_AT_AI ,2,AM_1AT_2AI 2,ACSA-ACSA-PRSE,3,ACSA,2024-07-13,1.08,1.27,1.2,5.0,,2024-07-25,0.99,1.32,1.2,5.5,2024-08-22,1.45,1.38,1.4,5.5,,,,,0.0,
25,mix,EM_ET_EI ,1,EM_2ET_1EI 1,PIST-QURU-QURU,1,QURU,2024-07-13,3.06,2.98,3.0,11.5,,2024-07-25,3.22,3.53,3.4,12.0,2024-08-22,3.43,3.28,3.4,12.0,,,,,0.0,
25,mix,EM_ET_EI ,1,EM_2ET_1EI 1,PIST-QURU-QURU,2,PIST,2024-07-13,3.20,3.23,3.2,20.5,,2024-07-25,3.32,3.50,3.4,21.0,2024-08-22,4.17,3.64,3.9,21.5,,,,,0.0,
25,mix,EM_ET_EI ,1,EM_2ET_1EI 1,PIST-QURU-QURU,3,QURU,2024-07-13,3.25,3.22,3.2,16.0,,2024-07-25,3.74,3.11,3.4,16.5,2024-08-22,3.75,4.06,3.9,15.0,,,,,0.0,
26,mix,Mix_AT_EI ,2,Mix_2AT_1EI 2,PIST-PRSE-PRSE,1,PRSE,2024-07-13,2.45,2.34,2.4,26.0,,2024-07-25,2.71,2.33,2.5,26.0,2024-08-22,4.20,4.45,4.3,44.5,,,,,0.0,
26,mix,Mix_AT_EI ,2,Mix_2AT_1EI 2,PIST-PRSE-PRSE,2,PRSE,2024-07-13,2.18,2.28,2.2,21.0,"top is dead, measured to tallest living apical meristem",2024-07-25,2.03,2.22,2.1,22.5,2024-08-22,2.83,2.89,2.9,33.0,,,,,0.0,
26,mix,Mix_AT_EI ,2,Mix_2AT_1EI 2,PIST-PRSE-PRSE,3,PIST,2024-07-13,4.09,4.18,4.1,28.5,,2024-07-25,4.03,4.52,4.3,30.0,2024-08-22,4.34,4.13,4.2,28.5,,,,,0.0,
27,mix,AM_AT_AI ,3,AM_1AT_2AI 3,ACSA-ACSA-PRSE,1,ACSA,2024-07-13,1.92,1.82,1.9,9.5,,2024-07-25,2.31,1.99,2.2,10.0,2024-08-22,1.96,1.87,1.9,10.0,,,,,0.0,
27,mix,AM_AT_AI ,3,AM_1AT_2AI 3,ACSA-ACSA-PRSE,2,ACSA,2024-07-13,1.08,1.34,1.2,6.5,,2024-07-25,1.43,1.20,1.3,7.0,2024-08-22,1.23,1.33,1.3,7.0,,,,,0.0,
27,mix,AM_AT_AI ,3,AM_1AT_2AI 3,ACSA-ACSA-PRSE,3,PRSE,2024-07-13,1.29,1.89,1.6,30.0,"top is dead, measured to tallest living apical meristem",2024-07-25,1.43,1.71,1.6,30.5,2024-08-22,3.59,3.55,3.6,33.5,,,,,0.0,
28,mix,AM_AT_AI ,4,AM_1AT_2AI 4,ACSA-ACSA-PRSE,1,ACSA,2024-07-13,1.13,1.14,1.1,3.5,,2024-07-25,1.32,1.09,1.2,4.0,2024-08-22,1.40,1.66,1.5,4.0,,,,,0.0,
28,mix,AM_AT_AI ,4,AM_1AT_2AI 4,ACSA-ACSA-PRSE,2,PRSE,2024-07-13,1.14,1.42,1.3,8.5,,2024-07-25,1.21,1.55,1.4,8.0,2024-08-22,3.27,3.25,3.3,28.0,,,,,0.0,
28,mix,AM_AT_AI ,4,AM_1AT_2AI 4,ACSA-ACSA-PRSE,3,ACSA,2024-07-13,1.17,1.25,1.2,6.0,,2024-07-25,1.27,1.16,1.2,6.5,2024-08-22,1.53,1.52,1.5,7.0,,,,,0.0,
